Ingredient,Total Fat,Saturated Fat,Cholesterol,Carbohydrate,Sodium,Fiber,Sugar,Protein,Vitamin A,Vitamin C,Calcium,Iron,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Biotin,Pantothenic Acid,Phosphorus,Iodine,Magnesium,Zinc,Selenium,Copper,Manganese,Chromium,Molybdenum,Chloride,Potassium,Choline
bacon,64.1,89.5,23.67,0.0,34.17,0.0,0.0,14.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
banana,8.01,0.0,0.0,14.76,25.83,22.14,12.5,25.0,0.0,16.67,9.62,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basil,119.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef,7.54,20.6,17.67,0.0,9.22,0.0,0.0,40.0,0.0,0.0,0.0,23.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.1,0.07,0.0,5.92,6.48,2.86,22.1,1.6,0.22,2.56,0.85,2.28,0.0,0.4,0.25,0.83,3.69,1.57,2.94,6.75,0.0,0.0,0.0,1.36,0.0,3.57,2.36,1.82,12.89,0.0,0.0,0.0,0.0,2.45,2.73
bell pepper,0.14,0.0,0.0,1.74,0.0,3.36,0.0,1.43,0.0,110.56,0.58,1.03,0.0,0.0,0.0,3.26,6.83,3.98,14.53,5.55,0.0,0.0,0.0,1.34,0.0,2.14,1.15,0.0,6.42,4.34,0.0,0.0,0.0,3.47,0.0
almond,67.59,21.12,0.0,7.68,10.09,34.29,8.8,41.34,0.0,0.0,20.23,22.67,0.0,110.47,0.0,7.83,71.77,24.29,4.88,10.5,0.0,0.0,0.0,40.32,0.0,63.33,28.73,1.45,107.67,0.0,0.0,0.0,0.0,15.77,9.42
apple,0.83,0.0,0.0,5.2,0.0,11.43,20.8,0.0,2.17,3.44,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,0.0
apricot,0.0,0.0,0.0,4.91,0.26,0.0,27.0,0.0,12.27,19.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51,0.0
arugula,0.9,0.0,0.0,1.28,1.22,5.0,4.22,5.64,13.33,16.44,12.46,8.22,0.0,0.0,90.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79,0.0
